customer_id,first_name,last_name,amount
341,Peter,Menard,7.99
341,Peter,Menard,1.99
341,Peter,Menard,7.99
341,Peter,Menard,2.99
341,Peter,Menard,7.99
341,Peter,Menard,5.99
342,Harold,Martino,5.99
342,Harold,Martino,5.99
342,Harold,Martino,2.99
343,Douglas,Graf,4.99
343,Douglas,Graf,6.99
343,Douglas,Graf,0.99
343,Douglas,Graf,0.99
343,Douglas,Graf,6.99
343,Douglas,Graf,8.99
343,Douglas,Graf,0.99
344,Henry,Billingsley,3.99
344,Henry,Billingsley,4.99
344,Henry,Billingsley,0.99
345,Carl,Artis,0.99
345,Carl,Artis,4.99
345,Carl,Artis,0.99
345,Carl,Artis,4.99
346,Arthur,Simpkins,5.99
346,Arthur,Simpkins,2.99
346,Arthur,Simpkins,2.99
347,Ryan,Salisbury,8.99
347,Ryan,Salisbury,0.99
347,Ryan,Salisbury,4.99
347,Ryan,Salisbury,8.99
347,Ryan,Salisbury,7.99
348,Roger,Quintanilla,2.99
348,Roger,Quintanilla,8.99
348,Roger,Quintanilla,0.99
349,Joe,Gilliland,2.99
349,Joe,Gilliland,0.99
349,Joe,Gilliland,6.99
349,Joe,Gilliland,8.99
350,Juan,Fraley,3.99
350,Juan,Fraley,0.99
350,Juan,Fraley,2.99
350,Juan,Fraley,0.99
351,Jack,Foust,5.99
351,Jack,Foust,0.99
351,Jack,Foust,2.99
352,Albert,Crouse,0.99
352,Albert,Crouse,4.99
352,Albert,Crouse,4.99
352,Albert,Crouse,4.99
352,Albert,Crouse,4.99
353,Jonathan,Scarborough,2.99
353,Jonathan,Scarborough,7.99
353,Jonathan,Scarborough,6.99
354,Justin,Ngo,0.99
354,Justin,Ngo,4.99
354,Justin,Ngo,6.99
354,Justin,Ngo,2.99
355,Terry,Grissom,0.99
355,Terry,Grissom,2.99
356,Gerald,Fultz,0.99
356,Gerald,Fultz,2.99
356,Gerald,Fultz,4.99
357,Keith,Rico,5.99
357,Keith,Rico,1.99
357,Keith,Rico,1.99
357,Keith,Rico,6.99
358,Samuel,Marlow,2.99
358,Samuel,Marlow,0.99
358,Samuel,Marlow,5.99
358,Samuel,Marlow,2.99
358,Samuel,Marlow,2.99
358,Samuel,Marlow,2.99
359,Willie,Markham,4.99
359,Willie,Markham,1.99
359,Willie,Markham,0.99
359,Willie,Markham,4.99
360,Ralph,Madrigal,0.99
360,Ralph,Madrigal,6.99
360,Ralph,Madrigal,3.99
360,Ralph,Madrigal,6.99
361,Lawrence,Lawton,4.99
361,Lawrence,Lawton,1.99
361,Lawrence,Lawton,2.99
361,Lawrence,Lawton,2.99
362,Nicholas,Barfield,2.99
362,Nicholas,Barfield,2.99
362,Nicholas,Barfield,2.99
362,Nicholas,Barfield,2.99
362,Nicholas,Barfield,2.99
363,Roy,Whiting,4.99
363,Roy,Whiting,4.99
363,Roy,Whiting,4.99
363,Roy,Whiting,4.99
363,Roy,Whiting,2.99
364,Benjamin,Varney,2.99
364,Benjamin,Varney,2.99
364,Benjamin,Varney,4.99
364,Benjamin,Varney,4.99
364,Benjamin,Varney,3.99
365,Bruce,Schwarz,1.99
365,Bruce,Schwarz,6.99
365,Bruce,Schwarz,4.99
365,Bruce,Schwarz,2.99
365,Bruce,Schwarz,0.99
366,Brandon,Huey,1.99
366,Brandon,Huey,0.99
367,Adam,Gooch,0.99
368,Harry,Arce,0.99
368,Harry,Arce,9.99
368,Harry,Arce,4.99
368,Harry,Arce,4.99
368,Harry,Arce,4.99
368,Harry,Arce,4.99
369,Fred,Wheat,0.99
370,Wayne,Truong,6.99
371,Billy,Poulin,2.99
371,Billy,Poulin,1.99
371,Billy,Poulin,6.99
371,Billy,Poulin,5.99
371,Billy,Poulin,0.99
371,Billy,Poulin,3.99
371,Billy,Poulin,0.99
372,Steve,Mackenzie,2.99
372,Steve,Mackenzie,4.99
372,Steve,Mackenzie,3.99
373,Louis,Leone,6.99
373,Louis,Leone,2.99
374,Jeremy,Hurtado,1.99
374,Jeremy,Hurtado,1.99
374,Jeremy,Hurtado,4.99
374,Jeremy,Hurtado,2.99
375,Aaron,Selby,2.99
375,Aaron,Selby,5.99
375,Aaron,Selby,4.99
376,Randy,Gaither,0.99
376,Randy,Gaither,0.99
377,Howard,Fortner,3.99
377,Howard,Fortner,1.99
377,Howard,Fortner,0.99
377,Howard,Fortner,2.99
377,Howard,Fortner,4.99
378,Eugene,Culpepper,4.99
378,Eugene,Culpepper,5.99
378,Eugene,Culpepper,7.99
378,Eugene,Culpepper,4.99
379,Carlos,Coughlin,8.99
379,Carlos,Coughlin,5.99
379,Carlos,Coughlin,2.99
380,Russell,Brinson,3.99
380,Russell,Brinson,2.99
380,Russell,Brinson,3.99
380,Russell,Brinson,2.99
